abandon,버리고 떠나다/ 포기하다,They followed him/ racing through the trees for a long distance/ but finally/ one by one/ they had to abandon the chase.,그들은 나무를 헤치며 꽤 긴 거리를 타잔을 쫓아 달렸지만 결국 한 사람씩 포기해야만 했다.,They followed him/ racing through the trees for a long distance/ but finally/ one by one/ they had to _ the chase.,,abandon
keen,날카로운/ 열의 있는,When he looked into her eyes/ he felt a keen sense of enjoyment.,그는 그녀의 두 눈을 들여다보며 강렬한 행복감을 맛보았다.,When he looked into her eyes/ he felt a _ sense of enjoyment.,,keen
jealous,시샘하는,She felt extremely jealous of her brother and his friend because they laughed together happily.,그녀는 오빠와 오빠의 친구가 함께 행복하게 웃자 이들에게 강한 질투심이 솟구치는 것을 느꼈다.,She felt extremely _ of her brother and his friend because they laughed together happily.,,jealous
tact,적절한 언변/ 눈치,A number of commenters suggest that Summers@ resignation was due to his lack of tact in dealing with the faculty.,수많은 논평가들의 시사에 의하면/ 서머스가 사임한 이유는 그가 교수진을 대하는 요령이 부족했기 때문이었다.,A number of commenters suggest that Summers@ resignation was due to his lack of _ in dealing with the faculty.,,tact
oath,맹세/ 욕설,She has stated under oath that she was pressured to lie about Mooney@s job performance in an attempt to get him fired.,그녀는 선서를 한 다음/ 무니의 업무 실적에 대해 거짓말을 해서 그가 해고당하게 하라는 압력을 받았다고 진술했다.,She has stated under _ that she was pressured to lie about Mooney@s job performance in an attempt to get him fired.,,oath
vacant,텅 빈,They sat down at a vacant table and waited for the omelet to be served.,그들은 빈 식탁 앞에 앉아 오믈렛이 나오기를 기다렸다.,They sat down at a _ table and waited for the omelet to be served.,,vacant
hardship,어려움,At a time of war and economic hardship/ the last thing we need is a tax cut for Americans who don@t need them.,전쟁이 벌어지고 경제적으로 어려운 시기에 감세가 필요 없는 미국인들에게 감세를 해주어서는 안 됩니다.,At a time of war and economic _/ the last thing we need is a tax cut for Americans who don@t need them.,,hardship
gallant,용감한/ 여성에게 정중한,The General spoke of the gallant work of the people who tried to save the horses from the fire.,장군은 화재에서 말들을 구하기 위해 노력했던 사람들의 용기에 관해 말했다.,The General spoke of the _ work of the people who tried to save the horses from the fire.,,gallant
data,정보,It is just not scientific to take data after an explosion and expect it to be meaningful in any way.,폭발 후에 얻은 데이터가 어떤 식으로건 의미 있기를 기대하는 것은 과학적인 태도가 아니다.,It is just not scientific to take _ after an explosion and expect it to be meaningful in any way.,,data
unaccustomed,익숙하지 않은,The National Hockey League players are unaccustomed to different colored uniforms when they play in foreign cities.,북미 아이스하키 리그의 선수들은 외국의 도시에서 시합할 때 다른 색깔의 유니폼을 입는 데 익숙지 않다.,The National Hockey League players are _ to different colored uniforms when they play in foreign cities.,,unaccustomed
bachelor,미혼 남자,Quiet to the point of shyness and a lifelong bachelor/ the lawyer needed an outgoing partner to handle the difficult cases.,수줍음을 탈 정도로 조용한 성격에/ 평생을 독신으로 산 그 변호사는 힘든 소송을 맡아줄 외향적인 파트너가 필요했다.,Quiet to the point of shyness and a lifelong _/ the lawyer needed an outgoing partner to handle the difficult cases.,,bachelor
qualify,자격을 얻다,Because of his lisp/ Roger couldn@t qualify for the announcer@s job.,로저는 혀 짧은 소리를 내기 때문에 아나운서 일의 적임자가 될 수 없다.,Because of his lisp/ Roger couldn@t _ for the announcer@s job.,,qualify
corpse,시신,Her husband was sentenced last June to life in prison after being convicted of second-degree murder and abandonment of a corpse.,그녀의 남편은 지난 6월/ 2급 살인과 사체 유기로 무기징역형을 선고받았다.,Her husband was sentenced last June to life in prison after being convicted of second-degree murder and abandonment of a _.,,corpse
concealed,숨기다,A majority of states require a permit to carry a concealed weapon. Only two other states allow concealed weapons.,대다수의 주들은 공공장소에서 총기를 숨겨 소지할 수 있도록 허가하라고 요구한다. 다른 두 개 주는 이미 이를 허용하고 있다.,A majority of states require a permit to carry a concealed weapon. Only two other states allow _ weapons.,,concealed
dismal,어두운/ 우울한,The quarterback wasn@t worried when his University of Connecticut Huskies football team suffered through a dismal offensive first half.,그 쿼터백은 자신이 속한 코네티컷 대학 허스키스 미식축구팀이 전반부 내내 참담한 공격으로 고전을 면치 못했어도 걱정하지 않았다.,The quarterback wasn@t worried when his University of Connecticut Huskies football team suffered through a _ offensive first half.,,dismal
frigid,매우 추운,The weather was frigid this week/ especially in Florida. Air temperatures ranged from the upper 20s to low 50s/ and surfers all wore wet suits.,이번 주는 혹한이었습니다. 특히 플로리다에서요. 기온은 최고 화씨 20도에서 최저 50도까지 내려갔습니다. 서퍼들은 모두 고무로 된 잠수복을 착용했습니다.,The weather was _ this week/ especially in Florida. Air temperatures ranged from the upper 20s to low 50s/ and surfers all wore wet suits.,,frigid
inhabited,거주하다,In a certain part of the country there were villages inhabited by numerous and angry settlers.,그 나라의 어떤 지역에는 분노에 찬 수많은 정착민들이 살고 있는 마을들이 있었다.,In a certain part of the country there were villages _ by numerous and angry settlers.,,inhabited
numb,감각이 없는 망연자실한,At one freezing tailgate party at a Bears playoff game/ Jeff Meyer/ 32/ of Lake in the Hills/ said his fingers were a little numb.@,베어스 플레이오프 경기 당시/ 쌀쌀한 날씨에 벌어진 야외 파티에서/ 레이크 인 더 힐스에서 온 32세 제프 메이어 씨는 손가락이 ‘좀 곱은 것@ 같다고 말했다.,At one freezing tailgate party at a Bears playoff game/ Jeff Meyer/ 32/ of Lake in the Hills/ said his fingers were ‘a little _.@,,numb
peril,위험,The peril was different/ of course/ perhaps more clear than ever. We were in the nuclear arms race of the Cold War.,물론 위험은 전과 달랐다. 아마 그 어느 때보다 더 분명했을 것이다. 우리는 냉전의 군비 확장 경쟁 한가운데 있었다.,The _ was different/ of course/ perhaps more clear than ever. We were in the nuclear arms race of the Cold War.,,peril
recline,기대다/ 눕다,In Toyota@s new Crossover/ all you had to do is pull the lever on the seat bases and the seatbacks recline up to 14 degrees.,도요타의 신형 자동차 크로스오버의 경우/ 좌석 하단의 레버를 당기기만 하면 의자 뒷부분이 14도까지 젖혀진다.,In Toyota@s new Crossover/ all you had to do is pull the lever on the seat bases and the seatbacks _ up to 14 degrees.,,recline
shriek,비명/ 비명을 지르다,They@re going to have to find a way to measure decibels to calculate the shrieks that greeted the performers at the concert.,공연 때 공연자들이 듣게 되는 비명 같은 고함의 크기를 추정할 수 있도록 데시벨을 측정할 방법을 찾아야 할 것이다.,They@re going to have to find a way to measure decibels to calculate the _ that greeted the performers at the concert.,,shrieks
sinister,사악한/ 불길한,The darkest of Shakespeare@s comedies/ Measure for Measure/ combines slapstick comedy with sinister dealings.,셰익스피어의 희극 중 가장 어두운 작품인 『자에는 자로』는 슬랩스틱 코미디를 사악한 행동과 버무려놓았다.,The darkest of Shakespeare@s comedies/ Measure for Measure/ combines slapstick comedy with _ dealings.,,sinister
tempt,유혹하다,It@s a sure thing that fall is in full swing when retailers tempt shoppers with special retail bargains.,소매상점들이 특가 행사로 고객을 유혹하는 걸 보니 분명 가을이 무르익긴 한 것 같다.,It@s a sure thing that fall is in full swing when retailers _ shoppers with special retail bargains.,,tempt
wager,도박,There will be no-limit poker games at the new casino in Atlantic City/ and players will probably wager large amounts of money.,애틀랜틱시티의 새 카지노에는 베팅에 상한선이 없는 포커 게임이 있을 테니 그곳에 가는 사람들은 필시 많은 액수의 돈을 걸 것이다.,There will be no-limit poker games at the new casino in Atlantic City/ and players will probably _ large amounts of money.,,wager
