typical,전형적인,The appearance of our visitor was a surprise to me쉼표 since I had expected a typical country doctor.,나는 우리를 찾아온 방문객의 차림새를 보고 깜짝 놀랐다. 내가 예상한 것은 전형적인 시골 의사의 모습이었기 때문이다. 아서 코난 도일 『배스커빌의 사냥개』,The appearance of our visitor was a surprise to me쉼표 since I had expected a _ country doctor.,,typical
minimum,최소한의,I am perfectly willing to act as business manager at a minimum salary of $500.,봉급을 최소 500달러 주시면 영업 담당 매니저로 기꺼이 일하겠습니다. 아서 코난 도일 『셜록 홈스의 회상』,I am perfectly willing to act as business manager at a _ salary of $500.,,minimum
scarce,거의 없는쉼표 귀한,The homeless population is rising in Jacksonville as affordable housing becomes scarcer and assistance options decrease.,적정 가격의 주택이 귀해지고 지원을 받을 수 있는 집의 숫자도 줄어들면서쉼표 잭슨빌의 무주택 주민 수가 늘고 있다. jacksonvilleherald.com 2010년 8월 31일,The homeless population is rising in Jacksonville as affordable housing becomes _ and assistance options decrease.,,scarcer
annual,연간의,The two daring explorers then embarked for England쉼표 and the Geographical Society of Paris awarded them the society’s annual medal.,두 명의 용감한 탐험가들은 영국을 향해 떠났고쉼표 파리 지리 학회는 이들에게 1년에 한 번씩 주는 메달을 수여했다. 쥘 베른 『5주간의 풍선 여행』,The two daring explorers then embarked for England쉼표 and the Geographical Society of Paris awarded them the society’s _ medal.,,annual
persuade,설득하다,She is perfectly well-bred쉼표 indeed쉼표 and has the air of a woman of fashion쉼표 but no one can persuade me to fall in love with her.,그녀는 예절도 바르고 상류사회 여성의 분위기를 풍기지만쉼표 그렇다고 그녀를 사랑하라고 내게 강요할 수는 없어요. 제인 오스틴 『레이디 수잔』,She is perfectly well-bred쉼표 indeed쉼표 and has the air of a woman of fashion쉼표 but no one can _ me to fall in love with her.,,persuade
essential,필수적인,After the blizzard the mayor came out first with warnings to the public to stay home쉼표 except for essential trips.,눈보라 후쉼표 처음 모습을 드러낸 시장이 시민들에게 한 말은 꼭 필요한 여행을 제외하고는 집 밖으로 나오지 말아야 한다는 경고였다. <뉴욕 타임스> 2011년 1월 20일,After the blizzard the mayor came out first with warnings to the public to stay home쉼표 except for _ trips.,,essential
blend,완전히 섞다쉼표 혼합물,Having collected an army and concentrated his forces쉼표 the general must blend the different elements before pitching his camp.,장수는 군대를 조직하고 병력을 모은 다음에는쉼표 필요한 여러 가지 장비를 모아 섞어 진을 쳐야 한다. 『손자병법』,Having collected an army and concentrated his forces쉼표 the general must _ the different elements before pitching his camp.,,blend
visible,보이는, Everyone got up and began watching the movements of our troops below쉼표 as plainly visible as if but a stone’s throw away.,모든 사람이 일어서쉼표 저 아래에서 벌어지는 우리 군대의 움직임을 지켜보기 시작했다. 마치 엎어지면 코 닿을 듯 똑똑히 보였다. 레프 톨스토이 『전쟁과 평화』, Everyone got up and began watching the movements of our troops below쉼표 as plainly _ as if but a stone’s throw away.,,visible
expensive,값비싼,Zeena always came back laden with expensive remedies쉼표 paying twenty dollars for an electric battery.,지나는 항상 비싼 약을 가득 싣고 돌아왔고쉼표 (무엇에 쓰는지도 모르는) 전기 배터리에 20달러를 지불했다. 이디스 워튼 『이선 프롬』,Zeena always came back laden with _ remedies쉼표 paying twenty dollars for an electric battery.,,expensive
talent,재능,No쉼표 I do not have the talent for managing people쉼표 but I see what ought to be done.,아니쉼표 내게는 사람들을 관리하는 재능은 없어요. 하지만 무엇을 해야 하는지는 알겠어요.  루이자 메이 올콧 『사랑스러운 폴리』,No쉼표 I do not have the _ for managing people쉼표 but I see what ought to be done.,,talent
devise,계획하다쉼표 고안해내다,The mice summoned a council to decide how they might best devise means of warning themselves of the approach of their great enemy the Cat.,생쥐들은 가장 무서운 적인 고양이가 접근할 때 이를 경고할 수 있는 수단을 강구하기 위해 의회를 소집했다. 『이솝우화』,The mice summoned a council to decide how they might best _ means of warning themselves of the approach of their great enemy the Cat.,,devise
wholesale,대량의쉼표 도매의,Wholesale sales offered fresh evidence that demand strengthened as the holiday shopping season began.,도매 판매는 휴가철 쇼핑 시즌이 시작되면서 수요가 늘었다는 것을 보여주는 확실한 증거를 제시했다. <로이터> 2011년 1월 12일,_ sales offered fresh evidence that demand strengthened as the holiday shopping season began.,,Wholesale
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
