warden,교도소장쉼표 관리인,There따옴표s really only one rule at Camp Green Lake: Don따옴표t upset the warden — he따옴표s the boss.,그린 레이크 캠프에서 규칙은 실제로 딱 하나다. 소장을 화나게 하지 말라는 것. 그가 보스다. 루이스 새커 『홀스』,There따옴표s really only one rule at Camp Green Lake: Don따옴표t upset the _ — he따옴표s the boss.,,warden
acknowledge,인정하다,Then the old warrior would walk to the young one쉼표 embrace him쉼표 acknowledge his worthiness.,그러자 그 늙은 전사는 젊은 전사 쪽으로 걸어가 그를 껴안았고 그의 미덕을 인정해주었다. 할레드 호세이니 『연을 쫓는 아이』,Then the old warrior would walk to the young one쉼표 embrace him쉼표 _ his worthiness.,,acknowledge
justice,공정함쉼표 정의,Beregond쉼표 perceiving the mercy and justice of the King쉼표 was glad…and departed in joy and content.,베레곤드는 왕의 자비와 정의를 알게 되어 기뻤다. 그리고 기쁨과 만족감을 안고 길을 떠났다. J. R. R. 톨킨 『반지의 제왕: 왕의 귀환』,Beregond쉼표 perceiving the mercy and _ of the King쉼표 was glad…and departed in joy and content.,,justice
delinquent,범법자쉼표 체납하는,I wrote down mostly typical delinquent-girl stuff — fighting쉼표 lying쉼표 stealing.,나는 싸움쉼표 거짓말쉼표 도둑질 등 전형적인 비행 청소년이 벌이는 일들을 글로 썼다. 숀 굿맨 『희망을 닮은 것』,I wrote down mostly typical _-girl stuff — fighting쉼표 lying쉼표 stealing.,,delinquent
reject,거절하다,A young boy must decide whether to go along with his father쉼표 who is a thief쉼표 or reject his father따옴표s way of life and risk losing him.,어린 소년은 도둑인 아버지와 함께 갈 것인지쉼표 아니면 아버지가 사는 방식을 거부하고 아버지를 잃을 위험을 감수할 것인지 결정해야 한다. 월터 딘 마이어스 『모조리 헛수고야』,A young boy must decide whether to go along with his father쉼표 who is a thief쉼표 or _ his father따옴표s way of life and risk losing him.,,reject
deprive,억지로 빼앗다,They are waiting to celebrate with you쉼표 and it would be a shame to deprive them of this excellent excuse to make a great deal of mess and noise.,그들은 너와 함께 축하하기를 기다리고 있어. 엄청난 난장판과 소란을 만들 이 훌륭한 핑계를 그들에게서 빼앗는다면 정말 유감스러운 일일걸. J. K. 롤링 『해리 포터와 불의 잔』,They are waiting to celebrate with you쉼표 and it would be a shame to _ them of this excellent excuse to make a great deal of mess and noise.,,deprive
spouse,배우자,A house is not a home when a spouse is not home.,배우자가 없는 집은 집이 아니다. 에이미 탄 『조이럭 클럽』,A house is not a home when a _ is not home.,,spouse
vocation,직업쉼표 일,An inheritance and a fancy house in New Orleans had lured her away from her true vocation.,그녀는 물려받은 유산과 뉴올리언스의 근사한 집 때문에 자신의 진정한 소명에서 멀어지고 싶은 유혹에 시달렸다. 앤 라이스 『위칭 아워』,An inheritance and a fancy house in New Orleans had lured her away from her true _.,,vocation
unstable,불안한쉼표 고정되지 않은,The woman who pushed Pope Benedict XVI appeared to be mentally unstable and was arrested by Vatican police.,베네딕트 16세 교황을 밀친 그 여성은 정신적으로 불안정해 보여 바티칸 경찰에 체포되었다. Www.silive.com 2009년 12월 24일,The woman who pushed Pope Benedict XVI appeared to be mentally _ and was arrested by Vatican police.,,unstable
homicide,살인,The Los Angeles County coroner said Friday in a statement that Michael Jackson따옴표s death was a homicide primarily caused by two drugs.,로스앤젤레스 카운티 검시관은 금요일에 한 설명에서 마이클 잭슨의 죽음은 두 가지 약물이 일으킨 일종의 살인사건이었다고 말한다. <뉴욕 타임스> 2009년 8월 28일,The Los Angeles County coroner said Friday in a statement that Michael Jackson따옴표s death was a _ primarily caused by two drugs.,,homicide
penalize,벌주다쉼표 유죄 선고하다,The referee may penalize the other team for misuse of the paint check rule.,그 심판은 다른 팀이 페인트볼의 페인트 점검 규정을 악용했다는 이유로 그 팀에게 벌칙을 내릴 것이다. 존 R. 리틀쉼표 커티스 웡 『페인트볼 가이드』,The referee may _ the other team for misuse of the paint check rule.,,penalize
beneficiary,수혜자,Little Stone is the sole beneficiary to all his insurance and property.,리틀 스톤은 모든 보험금과 재산의 유일한 수혜자다. 트레이시 닉스 『늑대 사냥꾼』,Little Stone is the sole _ to all his insurance and property.,,beneficiary
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
