despite,~에도 불구하고,These great green sea eagles eventually became extinct쉼표 despite anything anyone could do. ,초록 바다의 거대한 참수리들은 사람들의 온갖 노력에도 불구하고 결국 멸종했다. 커트 보네거트 『챔피언들의 아침식사』,These great green sea eagles eventually became extinct쉼표 _ anything anyone could do. ,,despite
disrupt,방해하다,The house is sleek쉼표 spare and ‘fluid쉼표따옴표 nothing to disrupt the line쉼표 meaning none of my clutter. ,집은 반질반질 윤기가 나고 검소하며 ‘유려따옴표하다. 이 집에 흐르는 선을 망칠 수 있는 것은 없다. 내 잡동사니 따위는 이 집에 끼어들 자리가 전혀 없다는 의미다. 에이미 탄 『조이럭 클럽』,The house is sleek쉼표 spare and ‘fluid쉼표따옴표 nothing to _ the line쉼표 meaning none of my clutter. ,,disrupt
rash,발진쉼표 무모한,By the time Halloween arrived쉼표 Harry was regretting his rash promise to go to the deathday party. ,핼러윈이 다가올 무렵 해리는 유령 파티에 가겠다고 무모한 약속을 했던 일을 후회하고 있었다. J. K. 롤링 『해리 포터와 비밀의 방』,By the time Halloween arrived쉼표 Harry was regretting his _ promise to go to the deathday party. ,,rash
rapid,신속한,It only took me about two minutes since I따옴표m a very rapid packer. ,나는 원래 짐을 빨리 싸기 때문에 짐 싸는 데 2분 정도밖에 걸리지 않았다. J. D. 샐린저 『호밀밭의 파수꾼』,It only took me about two minutes since I따옴표m a very _ packer. ,,rapid
exhaust,고갈시키다,No need to exhaust yourself! MODERATE exercise is best. ,기진맥진할 정도로 운동할 필요는 전혀 없다! 적당한 게 가장 좋다. <힐링 데일리> 2002년,No need to _ yourself! MODERATE exercise is best. ,,exhaust
severity,엄격함,Evidence has been accumulating that zinc could reduce the severity and duration of the common cold. ,아연이 일반적인 감기 증상을 완화하고 감기 앓는 기간을 줄일 수 있다는 증거가 계속 나왔다. <워싱턴 포스트> 2011년 2월 15일,Evidence has been accumulating that zinc could reduce the _ and duration of the common cold. ,,severity
feeble,약한쉼표 설득력 없는,The feeble attempt at magic was too much for Harry따옴표s wand쉼표 which split into two again. ,해리의 지팡이는 마법을 하려는 미약한 시도도 힘에 부쳤는지 다시 한 번 두 개로 쪼개졌다. J. K. 롤링 『해리 포터와 죽음의 성물』,The _ attempt at magic was too much for Harry따옴표s wand쉼표 which split into two again. ,,feeble
unite,통일하다,Let both sides explore what problems unite us instead of belaboring those problems which divide us. ,우리를 갈라놓는 문제를 장황하게 늘어놓는 대신쉼표 우리를 통합시키는 문제들이 무엇인지 함께 탐색하도록 해야 합니다. 존 F. 케네디 취임사 1961년 1월 20일,Let both sides explore what problems _ us instead of belaboring those problems which divide us. ,,unite
cease,중단하다,This doom shall stand for a year and a day쉼표 and then cease. ,이 비운은 1년가량 머무르다 멈출 것이다. J. R. R. 톨킨 『반지의 제왕: 두 개의 탑』,This doom shall stand for a year and a day쉼표 and then _. ,,cease
thrifty,검소한,It is thrifty to prepare today for the wants of tomorrow. ,궁핍할 미래를 위해 오늘 대비하는 것이 절약이다. 이솝 www.brainyquote.com,It is _ to prepare today for the wants of tomorrow. ,,thrifty
miserly,인색한,A miserly fellow named Joe was obsessed with his weekly cash flow. The guy was so petty쉼표 he ordered wife Betty to flush once a day. She said쉼표 “No!” ,조라는 이름의 인색한 남자는 자신의 주중 현금의 흐름에 골몰해 있었다. 조는 아내에게 변기 물을 하루에 한 번만 내리라고 할 만큼 옹졸하고 쩨쩨했다. 아내는 ‘싫어요!따옴표라고 대답했다. 매들린 비건 케이트 www.madkane.com,A _ fellow named Joe was obsessed with his weekly cash flow. The guy was so petty쉼표 he ordered wife Betty to flush once a day. She said쉼표 “No!” ,,miserly
monarch,군주,As expected쉼표 Colin Firth won best actor for his portrayal of the reluctant monarch in The King따옴표s Speech at Britain따옴표s top film awards.,콜린 퍼스는 예상했던 대로 영화 <킹스 스피치>에서 망설이는 군주를 훌륭하게 연기해서 영국 최고의 영화상에서 남우주연상을 받았다. www.nydailynews.com 2011년 2월 14일,As expected쉼표 Colin Firth won best actor for his portrayal of the reluctant _ in The King따옴표s Speech at Britain따옴표s top film awards.,,monarch
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
