infrastructure,사회(공공) 기반 시설,Sustainable infrastructure can signify 'green' or 'smart' constructions.,지속가능한 인프라는 환경친화적이고 컴퓨터로 제어되는 구조물을 의미할 수 있다.,Sustainable _ can signify 'green' or 'smart' constructions.,,infrastructure
forensic,법의학적인쉼표 법정의,Forensic gait analysis is used for the positive identification of a suspect.,법 보행 분석은 용의자를 식별하는 데에 활용된다.,_ gait analysis is used for the positive identification of a suspect.,,Forensic
impregnable,난공불락의,The city was impregnable to the enemy's army because of its high stone walls.,그 도시는 높은 돌담 때문에 적군에게는 난공불락이었다,The city was _ to the enemy's army because of its high stone walls.,,impregnable
rural,시골의,She lives in a quiet corner of rural Yorkshire.,그녀는 요크셔 시골 지방의 조용하고 외딴 곳에 산다.,She lives in a quiet corner of _ Yorkshire.,,rural
distribution,분배쉼표 분포,The company has worldwide distribution channels.,그 회사는 전 세계적인 배급 유통망을 갖고 있다.,The company has worldwide _ channels.,,distribution
logic,논리쉼표 논리학,There is no logic to/in any of their claims.,그들의 주장에는 그 어디에도 타당성이 없다.,There is no _ to/in any of their claims.,,logic
analysis,분석,The book is an analysis of poverty and its causes.,그 책은 빈곤과 그 원인들을 분석한 연구서이다.,The book is an _ of poverty and its causes.,,analysis
intensive,집중적인,He is critically ill in intensive care.,그는 중환자실에서 치료를 받고 있는 위독한 환자이다.,He is critically ill in _ care.,,intensive
sewage,하수쉼표 오물,There is a law that bans the dumping of sewage at sea.,바다에 쓰레기를 버리는 것을 금지하는 법이 있다.,There is a law that bans the dumping of _ at sea.,,sewage
superior,뛰어난쉼표 눈에 띄는,This model is technically superior to its competitors.,이 모델이 그 경쟁 제품들보다 기술적으로 더 우수하다.,This model is technically _ to its competitors.,,superior
bizarre,특이한,I found the whole story bizarre쉼표 not to say unbelievable.,나는 그 모든 이야기가 기이했다. 믿기 힘들 정도는 아니었지만.,I found the whole story _쉼표 not to say unbelievable.,,bizarre
limb,팔다리쉼표 나뭇가지,Lots of fashion models are large of limb.,많은 패션모델들은 팔다리가 크다.,Lots of fashion models are large of _.,,limb
suffocate,질식사하다쉼표 숨이 막히다,Some medical experts said it is possible to suffocate from electric fans.,어떤 의학 전문가들은쉼표 선풍기로 질식사할 수 있다고 말했다.,Some medical experts said it is possible to _ from electric fans.,,suffocate
minority,소수쉼표 소수 민족,Only a tiny minority hold such extreme views.,아주 적은 소수만이 그런 극단적인 견해를 갖고 있다.,Only a tiny _ hold such extreme views.,,minority
fussy,안달복달하는쉼표 신경질적인,She’s such afussy eater.,그녀는 먹는 것에 대해 너무 유난스럽다.,She’s such a _ eater.,,fussy
blatant,뻔한쉼표 노골적인,Though I respected advocates of sexual radicalism쉼표 I was embarrassed by their blatant expression.,내가 성 급진주의 옹호자를 존중했어도쉼표 그들의 노골적인 표현에는 당황했다.,Though I respected advocates of sexual radicalism쉼표 I was embarrassed by their _ expression.,,blatant
stereotype,고정 관념,He doesn’t conform to the usual stereotype of the businessman with a dark suit and briefcase.,그는 사업가 하면 짙은 색 정장에 서류 가방을 든다는 통상적인 고정 관념을 따르지 않는다.,He doesn’t conform to the usual _ of the businessman with a dark suit and briefcase.,,stereotype
assumption,추정쉼표 상정,The whole argument rests on a false assumption.,그 모든 주장은 틀린 추정에 기초하고 있다.,The whole argument rests on a false _.,,assumption
missionary,선교사,Church plant is a common missionary goal.,새로운 지역에서의 교회 개척은 일반적인 선교 목표이다.,Church plant is a common _ goal.,,missionary
naive,순진한,I can’t believe you were so naive as to trust him!,네가 어쩜 그렇게 순진해 빠져서 그를 신용한 건지 믿을 수가 없어!,I can’t believe you were so _ as to trust him!,,naive
remote,멀리 떨어진쉼표 원격 조정의,They live in a remote area쉼표 inaccessible except by car.,그들은 차로 가지 않으면 가기 어려운 외딴 지역에 산다.,They live in a _ area쉼표 inaccessible except by car.,,remote
larva,유충,In about five days쉼표 a tiny larva hatches from the egg.,5일 정도 지나면쉼표 아주 작은 애벌레는 알에서 부화합니다.,In about five days쉼표 a tiny _ hatches from the egg.,,larva
physician,의사,The physician prescribed him some medicine.,의사가 그에게 몇 가지 약을 처방하였다.,The _ prescribed him some medicine.,,physician
prise,비틀다,She used a knife to prise open the lid.,그녀는 칼을 써서 뚜껑을 비틀어 열었다.,She used a knife to _ open the lid.,,prise
clumsy,서투른쉼표 어색한,He tried to dance쉼표 but he was too clumsy and awkward.,그는 춤을 추려고 해 봤지만 너무 어색하고 서툴렀다.,He tried to dance쉼표 but he was too _ and awkward.,,clumsy
ignorance,무지쉼표 무식,Children often behave badly out of/through ignorance.,어린 아이들은 흔히 무지해서[몰라서] 나쁜 행동을 한다.,Children often behave badly out of/through _.,,ignorance
dominate,지배하다,She always says a lot in meetings쉼표 but she doesn’t dominate.,그녀는 회의 때 항상 말을 많이 하지만 군림하지는 않는다.,She always says a lot in meetings쉼표 but she doesn’t _.,,dominate
deprivation,박탈쉼표 부족,They had withstood siege쉼표 hunger and deprivation.,그들은 포위 공격쉼표 굶주림쉼표 빈곤을 견뎌 냈었다.,They had withstood siege쉼표 hunger and _.,,deprivation
convinced,확신하는쉼표 독실한,I’m still not totally convinced that he knows what he’s doing.,난 아직도 그가 자신이 무엇을 하고 있는지 알고 있다는 확신이 전적으로 들지 않는다.,I’m still not totally _ that he knows what he’s doing.,,convinced
privileged,특권이 있는쉼표 영광스러운,Those in authority were in a privileged position.,권한을 지닌 사람들은 특권을 가진 위치에 있었다.,Those in authority were in a _ position.,,privileged
