sturdy,튼튼한,The athletes are young쉼표 sturdy쉼표 and are less prone to injury.,그 운동선수들은 어리고 튼튼하며쉼표 부상을 당하는 경향이 적다.,The athletes are young쉼표 _쉼표 and are less prone to injury.,,sturdy
regimen,(식사쉼표 운동 등에 의한) 요법,Mr. Cole is on a strict exercise regimen to lose weight.,Mr. Cole은 체중을 줄이려고 엄격한 운동 요법을 하고 있다.,Mr. Cole is on a strict exercise _ to lose weight.,,regimen
supplement,보조제쉼표 보충(물),Vitamin supplements are recommended for those with poor eating habits.,비타민 보조제는 식습관이 나쁜 사람들에게 권장된다.,Vitamin _ are recommended for those with poor eating habits.,,supplements
supplement,보충하다쉼표 보완하다,Please supplement your report with charts and tables.,차트와 표로 보고서를 보충해 주시기 바랍니다.,Please _ your report with charts and tables.,,supplement
come down with,(병에) 걸리다,I think I따옴표m coming down with a cold.,나는 감기에 걸리려고 하는 것 같다.,I think I따옴표m _ a cold.,,coming down with
congested,코가 막힌 / (교통쉼표 사람이) 혼잡한,My nose is still congested due to the flu.,독감 때문에 내 코는 여전히 막혀 있다.,My nose is still _ due to the flu.,,congested
congested,코가 막힌 / (교통쉼표 사람이) 혼잡한,Downtown streets are always congested with traffic at this hour.,시내 도로는 이 시간에 항상 차들로 혼잡하다.,Downtown streets are always _ with traffic at this hour.,,congested
lethargic,무기력한쉼표 활발하지 못한,Sandra became lethargic after the long meeting.,Sandra는 긴 회의 후에 무기 력해졌다.,Sandra became _ after the long meeting.,,lethargic
diagnose,진단하다,To diagnose a disease쉼표 doctors first obtain a patient따옴표s medical history.,질병을 진단하기 위해쉼표 의사들은 먼저 환자의 병력을 얻는다.,To _ a disease쉼표 doctors first obtain a patient따옴표s medical history.,,diagnose
contract,(병에) 걸리다,The students contracted malaria during the filed trip.,학생들은 현장 학습 동안 말라리아에 걸렸다.,The students _ malaria during the filed trip.,,contracted
contract,계약서쉼표 계약,The businessmen signed a contract to build a new factory.,그 경영인들은 새 공장을 짓기 위해 계약서에 서명했다.,The businessmen signed a _ to build a new factory.,,contract
apply,바르다 / 적용하다 / 신청하다쉼표 지원하다,This lotion can be applied directly to an insect bite.,이 로션은 벌레 물린 곳에 직접 바를 수 있다.,This lotion can be _ directly to an insect bite.,,applied
apply,바르다 / 적용하다 / 신청하다쉼표 지원하다,Factory employees should apply safety rules in all work areas.,공장 직원들은 모든 업무 영역에 안전 규칙을 적용해야 한다.,Factory employees should _ safety rules in all work areas.,,apply
apply,바르다 / 적용하다 / 신청하다쉼표 지원하다,He wants to apply for membership of sports club.,그는 스포츠 클럽의 외원권을 신청하기를 원한다.,He wants to _ for membership of sports club.,,apply
skip,거르다쉼표 빼먹다 / 깡충깡충 뛰다,Feeling exhausted after work쉼표 Max decided to skip his daily workout.,퇴근 후에 진이 빠진 기분이었기 때문에쉼표 Max는 그의 일일 운동을 거르기로 했다.,Feeling exhausted after work쉼표 Max decided to _ his daily workout.,,skip
skip,거르다쉼표 빼먹다 / 깡충깡충 뛰다,Sally따옴표s excitement was evident s she skipped along the road.,Sally는 길을 따라 깡충깡충 뛰는 것을 보아 신난 것이 분명했다.,Sally따옴표s excitement was evident s she _ along the road.,,skipped
infection,감염쉼표 전염,Cleaning the wound can prevent the infection from getting worse.,상처를 소독하는 것은 감염이 심해지는 것을 막을 수 있다.,Cleaning the wound can prevent the _ from getting worse.,,infection
overcome,극복하다,Most of the survivors overcame the psychological trauma of the accident.,대부분의 생존자들은 그 사고의 정신적 외상을 극복했다.,Most of the survivors _ the psychological trauma of the accident.,,overcame
inject,주사하다쉼표 투여하다,The nurse injected the man with a drug to help him sleep.,그 간호사는 남자가 잠이 들도록 돕기 위해 약을 주사했다.,The nurse _ the man with a drug to help him sleep.,,injected
relieve,(고통쉼표 부담을) 경감하다쉼표 덜다,I따옴표m using strong medication to relieve my toothache.,나는 치통을 경감하기 위해 독한 약을 복용하고 있다.,I따옴표m using strong medication to _ my toothache.,,relieve
prescription,처방전쉼표 처방,You must follow the dosage instructions on the prescription.,처방전에 있는 복용량 지침을 따라야 한다.,You must follow the dosage instructions on the _.,,prescription
pass out,기절하다쉼표 의식을 잃다,Emily was taken to the hospital because she passed out in the summer heat.,Emily는 땡볕 더위로 기절했기 때문에 병원에 실려 갔다.,Emily was taken to the hospital because she _ in the summer heat.,,passed out
remedy,치료(약)쉼표 의료 / 구제책,Tea is considered to be a good remedy for a cough or sore throat.,차는 기침이나 목이 아플 때 좋은 치료 약으로 여겨진다.,Tea is considered to be a good _ for a cough or sore throat.,,remedy
remedy,치료(약)쉼표 의료 / 구제책,The large donation was an unexpected remedy for the firm따옴표s budget shortage problem.,많은 기부금은 회사의 예산 부족 문제의 뜻밖의 구제책이었다.,The large donation was an unexpected _ for the firm따옴표s budget shortage problem.,,remedy
immune,면역의 면역이 있는,Eat plenty of vegetables to strengthen your immune system.,면역 체계를 강화시키려면 채소를 많이 드세요.,Eat plenty of vegetables to strengthen your _ system.,,immune
aggravate,(괴로움쉼표 병 등을) 악화시키다,Overexercising can aggravate a stiff neck.,과도한 운동은 뻣뻣한 목을 약화시킬 수 있다.,Overexercising can _ a stiff neck.,,aggravate
detrimental,해로운,Eating fatty foods is detrimental to your health,.기름진 음식을 먹는 것은 건강에 해롭다.,Eating fatty foods is _ to your health,,detrimental
prognosis,(질병의) 예후,After a thorough examination of Peter쉼표 doctors gave a positive prognosis.,Peter에 대한 정밀 검사 이후쉼표 의사들은 긍정적인 예후를 내놓았다.,After a thorough examination of Peter쉼표 doctors gave a positive _.,,prognosis
recover,(건강을) 회복하다 / (원상태로) 복구하다 / 되찾다,She recovered quickly from food poisoning.,그녀는 식중독에서 빠르게 회복했다.,She _ quickly from food poisoning.,,recovered
recover,(건강을) 회복하다 / (원상태로) 복구하다 / 되찾다,The computer technician successfully recovered the file.,컴퓨터 기술자는 그 파일을 성공적으로 복구했다.,The computer technician successfully _ the file.,,recovered
recover,(건강을) 회복하다 / (원상태로) 복구하다 / 되찾다,The detective recovered the jewelry stolen from the museum.,그 형사는 박물관에서 도난당한 보석을 되찾았다.,The detective _ the jewelry stolen from the museum.,,recovered
vigorous,격렬한 / 강건한,Doctors recommend a healthy diet and vigorous exercise to lose weight.,의사들은 살을 빼기 위해 건강한 식단과 격렬한 운동을 권고한다.,Doctors recommend a healthy diet and _ exercise to lose weight.,,vigorous
vigorous,격렬한 / 강건한,Due to regular exercise쉼표 Jack is extremely vigorous.,규칙적인 운동 덕분에쉼표 Jack은 매우 강건하다.,Due to regular exercise쉼표 Jack is extremely _.,,vigorous
hygiene,위생쉼표 청결,It is basic hygiene to wash one따옴표s hands after using the bathroom.,화장실을 이용한 후에 손을 씻는 것은 기본 위생이다.,It is basic _ to wash one따옴표s hands after using the bathroom.,,hygiene
patient,환자쉼표 병자,There were more patients in the emergency room than the doctors could handle.,응급실에는 의사가 돌볼 수 있는 수보다 더 많은 환자들이 있었다.,There were more _ in the emergency room than the doctors could handle.,,patients
shake off,(병 등을) 떨쳐내다쉼표 물리치다,I can따옴표t seem to shake off this cough.,이 기침을 떨쳐내기 쉽지 않은 것 같다.,I can따옴표t seem to _ this cough.,,shake off
posture,자세쉼표 몸가짐,Having poor posture while sitting can increase the pressure on your muscles.,나쁜 자세로 앉아 있는 것은 근육에 대한 압박을 증가시킬 수 있다.,Having poor _ while sitting can increase the pressure on your muscles.,,posture
acute,심한쉼표 격렬한,I was given an injection to alleviate the acute pain in my knee.,나는 심한 무릎 통증을 완화시키기 위해 주사를 맞았다.,I was given an injection to alleviate the _ pain in my knee.,,acute
dehydration,탈수,Dehydration is common problem when hiking in the summer.,탈수는 여름에 등산을 할 때 겪는 흔한 문제이다.,_ is common problem when hiking in the summer.,,Dehydration
indisposed,몸이 안 좋은,Tracey따옴표s assistant is indisposed at the moment쉼표 so she managing her own schedule.,Tracey의 조수가 요즘 몸이 안 좋아서쉼표 그녀는 자신의 일정을 직접 관리하고 있다.,Tracey따옴표s assistant is _ at the moment쉼표 so she managing her own schedule.,,indisposed
a bout of flu,독감 치레,Lately쉼표 Rachel has been suffering from a bout of flu.,최근에쉼표 Rachel은 독감 치레를 했다.,Lately쉼표 Rachel has been suffering from _.,,a bout of flu
cot,간이침대쉼표 아기 침대,Rooms at the hospital have four cots each쉼표 separated by curtains.,병원의 각 병실에는 커튼으로 구분된 4개의 간이침대가 있다.,Rooms at the hospital have four _ each쉼표 separated by curtains.,,cots
safety,안전,Medical staff always take safety precautions for patients.,의료진은 항상 환자를 위해 안전 예방 조치를 취한다.,Medical staff always take _ precautions for patients.,,safety
