inebriate,취하게 하다,There was something inebriating about the atmosphere — a heady mix of music쉼표 lights쉼표 and wine.,분위기에는 뭔가 사람을 취하게 하는 무언가가 있었다 — 음악과 조명쉼표 와인이 어우러진 아찔한 조화였다.,There was something _ about the atmosphere — a heady mix of music쉼표 lights쉼표 and wine.,,inebriating
inebriate,취한,He stumbled out of the bar쉼표 clearly inebriate and unable to walk straight.,그는 바에서 비틀거리며 나왔고쉼표 명백히 취해서 똑바로 걷지도 못했다.,He stumbled out of the bar쉼표 clearly _ and unable to walk straight.,,inebriate
morose,시무룩한,After losing the game쉼표 he became morose and refused to talk to anyone.,그는 경기에서 지고 나서 시무룩해져 아무하고도 말을 하지 않았다.,After losing the game쉼표 he became _ and refused to talk to anyone.,,morose
taciturn,말수가 적은쉼표 성격이 뚱한,She was a taciturn woman who rarely spoke unless necessary.,그녀는 말이 거의 없고쉼표 필요할 때만 말하는 사람이었다.,She was a _ woman who rarely spoke unless necessary.,,taciturn
filial,(부모에 대한) 자식의,He felt a strong sense of filial duty toward his ageing parents.,그는 노부모에 대해 강한 자식 된 도리를 느꼈다.,He felt a strong sense of _ duty toward his ageing parents.,,filial
filial piety,효도,In many Asian cultures쉼표 filial piety is considered a core moral value.,많은 아시아 문화에서 효도는 핵심적인 도덕 가치로 여겨진다.,In many Asian cultures쉼표 _ is considered a core moral value.,,filial piety
denounce,맹렬히 비난하다쉼표 고발하다,Many experts are denouncing President Trump for his reckless policies.,,Many experts are _ President Trump for his reckless policies.,,denouncing
invariably,변함없이쉼표 언제나,She invariably takes her dog for a walk at 6 a.m.쉼표 even in the rain.,그녀는 비가 오든 말든 항상 아침 6시에 개를 산책시킨다.,She _ takes her dog for a walk at 6 a.m.쉼표 even in the rain.,,invariably
insoluble,풀 수 없는,I found that question insoluble.,나는 그 질문이 풀 수 없다고 생각했다.,I found that question _.,,insoluble
unalterable,바꿀 수 없는쉼표 불변의,The terms of the contract are unalterable once signed.,계약서에 서명하면 그 조건은 변경할 수 없다.,The terms of the contract are _ once signed.,,unalterable
misgiving,의혹쉼표 불안감,He had serious misgivings about the safety of the plan.,그는 그 계획의 안전성에 대해 심각한 의구심을 가졌다.,He had serious _ about the safety of the plan.,,misgivings
licence,면허쉼표 자유(방종),Artistic licence allows writers to bend the rules of reality.,예술적 자유는 작가들이 현실의 규칙을 다소 왜곡할 수 있도록 해준다.,Artistic _ allows writers to bend the rules of reality.,,licence
