commute,v. 통근하다쉼표n. 출퇴근쉼표통근,Many city residents _ by subway every day.,많은 도시 거주자들은 매일 지하철로 통근한다.,Many city residents _ by subway every day.,,commute
commutes,v. 통근하다쉼표n. 출퇴근쉼표통근,I don따옴표t like long and tiring _.,나는 길고 피곤한 출퇴근을 싫어한다.,I don따옴표t like long and tiring _.,,commutes
pick up,Phr. ~를 데리러 가다쉼표 ~를 태워주다 / 회복되다 / ~을 익히다,Can you _ me _ from my office after work?,일이 끝난 후에 사무실로 나를 데리러 와줄 수 있니?,Can you _ me _ from my office after work?,,pick up
pick up,Phr. ~를 데리러 가다쉼표 ~를 태워주다 / 회복되다 / ~을 익히다,Sales of air conditioners _ during the summer.,에어컨 판매량은 여름 동안에 회복된다.,Sales of air conditioners _ during the summer.,,pick up
pick up,Phr. ~를 데리러 가다쉼표 ~를 태워주다 / 회복되다 / ~을 익히다,Young children _ a foreign language faster than adults do.,어린아이들은 어른보다 외국어를 더 빨리 익힌다.,Young children _ a foreign language faster than adults do.,,pick up
drop off,phr. ~를 (차에서) 내려 주다,I went to the library to _ Stacey.,나는 Stacey를 내려 주기 위해 도서관에 갔어.,I went to the library to _ Stacey.,,drop off
route,n. 길쉼표노선,The bus driver chose a different _ to avoid delays caused by roadwork.,버스 운전사는 도로 공사로 인한 지체를 피하기 위해 다른 길을 택했다.,The bus driver chose a different _ to avoid delays caused by roadwork.,,route
jammed,v.  (장소쉼표 통로를) 막다쉼표메우다,The traffic on the bridge was _쉼표 forcing vehicles to turn back.,다리 위의 차가 막혀서 차량들을 되돌아가게 했다,The traffic on the bridge was _쉼표 forcing vehicles to turn back.,,jammed
detour,n. 우회쉼표 우회 도로,Kayla took a _ on her way home from work to pick up Chinese food.,Kayla는 중국 음식을 찾아오기 위해 회사에서 집으로 오는 길에 우회했다,Kayla took a _ on her way home from work to pick up Chinese food.,,detour
pull over,phr. (차를)  길가에 대다,The traffic cop signaled the man at the wheel to _.,그 교통경찰은 운전 중인 남자에게 차를 길가에 대라는 신호를 보냈다.,The traffic cop signaled the man at the wheel to _.,,pull over
fine,n. 벌금쉼표과태료쉼표 v. 벌금을 부과하다쉼표 adj. 아주 작은,Simon paid a _ for parking in a handicapped zone.,Simon은 장애인 전용 구역에 주차해서 벌금을 냈다.,Simon paid a _ for parking in a handicapped zone.,,fine
