finest,최고의,,,,,finest,,2,,,,,
fling,내던지다,,,,,flung,,2,,,,,
folly,어리석은 행동,,,,,folly,,1,,,,,
former,전자,,,,,former,o,2,,,,,
furnished,치장된,,,,,furnished,,1,,,,,
futile,무모한,,,,,futile,,1,,,,,
groan,신음 소리를 내다,,,,,groan,,2,,,,,
hapless,운이 나쁜,,,,,hapless,,1,,,,,
harbored,묻는,,,,,harbored,,1,,,,,
hasten,서두르다,,,,,hasten,,2,,,,,
herd,떼쉼표 대중쉼표 짐승을 몰다,,,,,herd,,2,,,,,
immortality,불멸쉼표 영생,,,,,immortality,o,2,,,,,
impiety,불경죄,,,,,impiety,,2,,,,,
implore,사정하다,,,,,implore,,12,,,,,
in control,,,,,,in control,,2,,,,,
indispensable,반드시 필요한,,,,,indispensable,o,12,,essential,vital,crucial,necessary
inexplicably,이해할 수 없게,,,,,inexplicably,,12,,,,,
infallibly,결코 틀리지 않는,,,,,infallibly,,2,,,,,
inhabit,살다,,,,,inhabit,,1,,live,dwell,reside,
interposed,관여하다,,,,,interposed,,2,,,,,
kindred,친족쉼표 친척,,,,,kindred,,12,,,,,
lid,뚜껑,,,,,lid,,2,,,,,
magnanimous,너그러운,,,,,magnanimous,,1,,,,,
mass,덩어리,,,,,mass,,2,,,,,
match,성냥,,,,,match,,2,,,,,
mediterranean,지중해,,,,,mediterranean,,2,,,,,
mortals,죽는 이들,,,,,mortals,o,2,,,,,
multitude,많음,,,,,multitude,,1,,,,,
nobler,고귀한,,,,,nobler,,2,,,,,
nothing but ,단순한,,,,,nothing but ,o,2,,,,,
noxious,유해한,,,,,noxious,,12,,,,,
