가정하다,assume,It is not safe to assume that a stranger is a good neighbor just because they따옴표re polite,낯선이가 공손하다는 이유만으로 그들이 좋은 이웃이라고 가정하는 것은 안전하지 않다.,It is not safe to _ that a stranger is a good neighbor just because they따옴표re polite,assume
감탄쉼표 존경,admiration,I have great admiration for my sister따옴표s talent as a ballerina.,나는 발레리나로서 나의 누나의 재능을 대단히 존경한다,I have great _ for my sister따옴표s talent as a ballerina.,admiration
강요하다,enforce,To be effective쉼표 both parents must enforce limits,효과적이려면쉼표 부모 모두가 제한을 시행해야 한다,To be effective쉼표 both parents must _ limits,enforce
고정관념,stereotype,Many of the stories int eh book have to do with some kind of stereotype.,그 책에 있는 많은 이야기가 일종의 고정 관념과 관련이 있다.,Many of the stories int eh book have to do with some kind of _.,stereotype
기간쉼표 폭,span,A manager was responsible for large quantities in a relatively short span of time,한 관리자가 비교적 짧은 시간에 많은 양을 책임졌다,A manager was responsible for large quantities in a relatively short _ of time,span
기관쉼표 제도,institution,"Some governments and educational institutions started to use the term ""sustainability"" in a serious manner",몇몇 정부와 교육기관들이 따옴표지속 가능성따옴표 이라는 용어를 진지하게 사용하기 시작했다,"Some governments and educational _ started to use the term ""sustainability"" in a serious manner",institutions
꽃가루쉼표 화분,pollen,A contaminated bee transports the pesticide to the colony쉼표 or in pollen or nectar,오염된 벌은 군락에쉼표 또는 꽃가루나 꿀에 농약을 옮긴다,A contaminated bee transports the pesticide to the colony쉼표 or in _ or nectar,pollen
꽃이 피다쉼표 꽃,blossom,The following spring쉼표 the burnt branches surprisingly blossomed into beautiful flowers,다음 봄에쉼표 불에 탄 가지가 놀랍게도 아름다운 꽃으로 피어났다.,The following spring쉼표 the burnt branches surprisingly _ into beautiful flowers,blossomed
나뭇가지,branch,For moralists쉼표 political life is a branch of ethics philosophy,도덕주의자들에게 정치적 삶은 윤리 철학의 한 분야이다,For moralists쉼표 political life is a _ of ethics philosophy,branch
농작물쉼표 경작하다,crop,Crops must be cultivated without most of the chemicals that farmers use now,농작물은 오늘날 농부들이 사용하는 대부분의 화학비료를 사용하지 않고 재배되어야 한다,_ must be cultivated without most of the chemicals that farmers use now,crops
동정하다쉼표 공감하다,sympathize,All people sympathize with the victims,모든 사람들이 피해자들에게 동정한다.,All people _ with the victims,sympathize
무관한,irrelevant,Many of us consider the financial difficulties after retirement irrelevant to our lives,우리 중 다수는 은퇴 이후의 재정적 어려움을 우리 삶과 무관하다고 여긴다,Many of us consider the financial difficulties after retirement _ to our lives,irrelevant
보존쉼표 보호,conservation,Sometimes the benefits of conservation are immediate,때때로 자연보호의 혜택은 즉각적이다,Sometimes the benefits of _ are immediate,conservation
불신,disbelief,Regina could only stare at her transformed self in disbelief,Regina는 자신의 변한 모습을 믿을 수 없다는 듯 그저 바라볼 수 있을 뿐이었다.,Regina could only stare at her transformed self in _,disbelief
