economy,economy,경제,The sharing economy is an economic system based on sharing assets or services쉼표 for free or for a fee쉼표 directly from and between individuals.,공유 경제는 무료로 또는 비용을 내고쉼표 개인으로부터 직접 그리고 개인들 간에 자산이나 서비스를 공유하는 것에 기초한 경제체제이다.,The sharing _ is an economic system based on sharing assets or services쉼표 for free or for a fee쉼표 directly from and between individuals.,,economy
integrate,integrate,통합하다,The companies are planing to integrate management.,그 회사들은 경영을 통합할 계획 중이다.,The companies are planing to _ management.,,integrate
emission,emissions,배출쉼표 배출물,Methane is responsible for about 16 percent of global greenhouse gas emissions.,메탄은 지구 온실가스 배출의 약 16퍼센트의 원인을 차지한다.,Methane is responsible for about 16 percent of global greenhouse gas _.,,emissions
regular,regular,정기적인쉼표 정규의쉼표 보통의,I have a regular medical checkup.,나는 정기적인 건강검진을 받는다.,I have a _ medical checkup.,,regular
bravery,bravery,용기,Becoming a patriot needs bravery쉼표 conviction쉼표 and passion.,애국자가 되는 것은 용기쉼표 신념쉼표 그리고 열정이 필요하다.,Becoming a patriot needs _쉼표 conviction쉼표 and passion.,,bravery
isolate,isolated,고립시키다,The village was isolated by the floods.,그 마을은 홍수로 인해 고립되었다.,The village was _ by the floods.,,isolated
habitat,habitat,서식지,If we choose to protect these species쉼표 we must conserve their habitat.,우리가 이러한 종들을 보호하기로 결정한다면쉼표 우리는 그들의 서식지를 보호해야 한다.,If we choose to protect these species쉼표 we must conserve their _.,,habitat
minister,minister,장관쉼표 성직자,The Russian foreign minister was present at the meeting.,러시아 외무부 장관이 그 회의에 참석했다.,The Russian foreign _ was present at the meeting.,,minister
entity,entity,실체,The mind exists as a separate entity.,정신은 분리된 실체로 존재한다.,The mind exists as a separate _.,,entity
reluctant,reluctant,꺼리는,Regina was reluctant to have conversations with elderly people at first.,Regina는 처음에 노인들과 대화하는 것을 꺼렸다.,Regina was _ to have conversations with elderly people at first.,,reluctant
prevent,prevent,막다,Some moisture is needed in the air to prevent dehydration.,탈수를 막으려면 공기 중에 약간의 습기가 필요하다.,Some moisture is needed in the air to _ dehydration.,,prevent
trade-off,trade-off,균형쉼표 거래,There has to be a trade-off between quality and quantity if we want to keep prices low.,가격을 낮게 유지하고 싶으면 질과 양 사이의 균형이 있어야 한다.,There has to be a _ between quality and quantity if we want to keep prices low.,,trade-off
