rudimentary,가장 기본적인쉼표 미발달의,With only scant revenues쉼표 many of the Korean internet companies offer little more than the rudimentary services.,수입이 적은 관계로 많은 한국의 인터넷 회사들이 기본적인 서비스 정도만을 제공한다.,With only scant revenues쉼표 many of the Korean internet companies offer little more than the _ services,,rudimentary
pagoda,(아시아 국가 사찰의) 탑,Today there's an unusually large number of people circling the pagoda.,오늘은 탑돌이를 하는 사람이 유난히 많은 것 같아요.,Today there's an unusually large number of people circling the _.,,pagoda
ethical,윤리적인,Some things it will include are robotics developments쉼표 ethical boundaries쉼표 and user ethics and ethical standards on destroying and reconstructing robots.,이 목록에는 로봇들의 발전쉼표 윤리적 경계쉼표 그리고 사용자 윤리와 로봇의 파괴와 개조에 대한 윤리적 기준을 포함한다.,Some things it will include are robotics developments쉼표 _ boundaries쉼표 and user ethics and ethical standards on destroying and reconstructing robots.,,ethical
injection,주사쉼표 주입,The reason why the injection needs repeating every year is that the virus changes.,그 주사를 해마다 반복해서 맞아야 하는 이유는 바이러스가 변화하기 때문이다.,The reason why the _ needs repeating every year is that the virus changes.,,injection
swine,돼지,Some parents are even more afraid of the swine flu vaccine than they are of the swine flu.,일부 부모들은 신종플루보다 신종플루 백신을 더 두려워하고 있다.,Some parents are even more afraid of the _ flu vaccine than they are of the swine flu.,,swine
estimate,추정하다,It is hard to estimate how many children suffer from dyslexia.,얼마나 많은 아동들이 난독증에 시달리는지는 추정하기가 어렵다.,It is hard to _ how many children suffer from dyslexia.,,estimate
malnutrition,영양실조,Their bodies had suffered contortion as a result of malnutrition.,그들의 몸은 영양실조에 시달린 결과 뒤틀려 있었다.,Their bodies had suffered contortion as a result of _.,,malnutrition
robust,튼튼한,Steady-state economies require robust economic policy,안정된 경제 상태는 튼튼한 경제 정책을 요한다.,Steady-state economies require _ economic policy.,,robust
capacity,용량,The match attracted a capacity crowd of 80000.,그 시합은 8만 명의 최대 수용 인원을 끌어들였다.,The match attracted a _ crowd of 80000.,,capacity
infusion,투입,"Blood doping is commonly undertaken through the intravenous
infusion of blood. ",혈액 도핑은 일반적으로 혈액의 정맥 주사에 의해 이루어진다.,Blood doping is commonly undertaken through the intravenous _ of blood.,,infusion
pediatrician,소아과 의사,Testing a child for attention deficit hyperactivity disorder (ADHD) means working with a pediatrician쉼표 a child psychiatrist쉼표 a child psychologist쉼표 or a pediatric neurologist.,주의력 결핍 과잉행동 장애(ADHD)를 보이는 아이들을 진단하려면 소아과쉼표 소아정신과 전문의쉼표 아동 심리학자쉼표 그리고 소아신경과 전문의 도움이 필요하다,Testing a child for attention deficit hyperactivity disorder (ADHD) means working with a _쉼표 a child psychiatrist쉼표 a child psychologist쉼표 or a pediatric neurologist.,,pediatrician
commemorate,기념하다,A series of movies will be shown to commemorate the 30th anniversary of his death.,그의 사망 30주기를 기념하여 영화가 시리즈로 상영된다.,A series of movies will be shown to _ the 30th anniversary of his death.,,commemorate
anemia,빈혈,The doctor ascribed his fatigue to anemia.,의사는 그의 피로를 빈혈에 기인한 것으로 보고 있다. ,The doctor ascribed his fatigue to _.,,anemia
verdict,판결,The verdict was overruled by the Supreme Court.,그 평결은 연방 대법원에서 기각되었다.,The _ was overruled by the Supreme Court.,,verdict
delivery,출산,Midwives are schooled in the care of women to maintain healthy pregnancies as well as have the best possible labor쉼표 delivery쉼표 and postpartum recovery.,조산사는 건강한 임신을 유지하기 위한 여성들을 돌보는것뿐만 아니라 최선의 분만쉼표 출산쉼표 그리고 산후 조리를 하도록 교육을 받는다.,Midwives are schooled in the care of women to maintain healthy pregnancies as well as have the best possible labor쉼표 _쉼표 and postpartum recovery.,,delivery
attribution,(~을 …의) 결과로[덕분으로] 보다쉼표 속성,The attribution of this painting to Rembrandt has never been questioned.,이 그림을 렘브란트 것으로 보는 데는 여태까지 한 번도 이의가 없었다.,The _ of this painting to Rembrandt has never been questioned.,,attribution
hydration,수분 공급,Water is the number one doctor-recommended beverage for summer hydration.,물은 여름철 원활한 수화 작용을 위해 의사들이 첫 번째로 권하는 음료이다.,Water is the number one doctor-recommended beverage for summer _.,,hydration
magnitude,중요도쉼표 규모,I agree with him completely - we simply don't have the resources to take on a project of that magnitude.,전적으로 동의해요. 우린 그 정도 규모의 프로젝트를 맡을 자금력이 없어요.,I agree with him completely - we simply don't have the resources to take on a project of that _.,,magnitude
