amplify,증폭시키다,Funerals can amplify people's feelings of sadness.,장례식은 슬픔의 감정을 증폭시킬 수 있다.,Funerals can _ people's feelings of sadness.,,amplify,,,,,
apathy,무관심,The citizens' apathy to local affairs resulted in poor government.,지역 일에 대한 시민들의 무관심으로 형편없는 정부가 생겨났다.,The citizens' _ to local affairs resulted in poor government.,,apathy,,,,,
hotheaded,성급한,In my view쉼표 both opinions are rash and hotheaded conclusions.,내가 보는 관점에서 이 두 가지 의견 모두 경솔하고 성급한 결론이다.,In my view쉼표 both opinions are rash and _ conclusions.,,hotheaded,,,,,
evacuate,대피시키다쉼표 떠나다,Employees were urged to evacuate their offices immediately,직원들은 즉각 사무실에서 나가라는 재촉을 받았다.,Employees were urged to _ their offices immediately,,evacuate,,,,,
offspring,자식쉼표 새끼,The female offspring cannot fly쉼표 and therefore쉼표 will not be able to live very long.,새끼 암컷은 날지 못하기 때문에 오랫동안 살 수 없게 된다,The female _ cannot fly쉼표 and therefore쉼표 will not be able to live very long.,,offspring,,,,,
hamper,방해하다,What factors are there that might hamper corporate investment?,기업의 투자를 가로막는 요인에는 어떤 것이 있습니까?,What factors are there that might _ corporate investment?,,hamper,,,,,
meticulous,세심한,She is so attentive and meticulous that you can entrust any task to her.,그녀는 손끝이 아주 야무져서 무슨 일이든 믿고 맡길 수 있다,She is so attentive and _ that you can entrust any task to her.,,meticulous,,,,,
solidarity,결속쉼표 연대,Demonstrations were held as a gesture of solidarity with the hunger strikers.,단식 투쟁을 벌이는 사람들에 대한 연대의 표시로 시위들이 벌어졌다.,Demonstrations were held as a gesture of {_ with the hunger strikers.,,solidarity,,,,,
drain,물을 빼내다쉼표 소모시키다,Drain and rinse the pasta.,파스타의 물을 다 따라 내고 헹궈라.,_ and rinse the pasta.,,Drain,,,,,
stagger,비틀거리다쉼표 놀라게하다,I managed to stagger the last few steps.,나는 비틀거리며 간신히 마지막 몇 걸음을 뗐다.,I managed to {_ the last few steps.,,stagger,,,,,
incremental,서서히 증가하는,We need huge changes as well as incremental progression.,점진적 진전뿐만 아니라 큰 변화도 필요하다.,We need huge changes as well as _ progression.,,incremental,,,,,
sobering,잠(술)이 확 깨는쉼표 번쩍 정신이 들게 하는,Many companies try to diversify their business dealings쉼표 but the sobering fact is that statistically쉼표 the probability of a successful diversification is one in 20.,많은 기업들이 사업 관계를 다각화하려고 노력하지만쉼표 냉정한 사실은 통계 적으로 성공적인 다각화의 가능성은 20번 중 1번 뿐이란 것이다.,Many companies try to diversify their business dealings쉼표 but the _ fact is that statistically쉼표 the probability of a successful diversification is one in 20.,,sobering,,,,,
obey,복종하다,He has acted in obedience to the law.,그는 법이 하라는 대로 행동했다,He has acted in _ to the law.,,obedience,,,,,
exaggerate,과장하다,He told his story simply and without exaggeration.,그는 자신의 이야기를 솔직하고 과장 없이 했다.,He told his story simply and without _.,,exaggeration,,,,,
migrate,이주하다쉼표 이동하다,The scientist conducted an experiment on bird migration.,한 과학자가 조류 이동에 관한 실험을 했다.,The scientist conducted an experiment on bird _.,,migration,,,,,
farfetched,억지의쉼표 설득력 없는,The storyline of the movie was too farfetched.,그 영화의 줄거리는 얼토당토않았다.,The storyline of the movie was too _.,,farfetched,,,,,
slothful,나태한,Our nation will become lazy쉼표 apathetic and slothful.,우리 나라는 게으르고쉼표 무관심하고 나태해질 것이다,Our nation will become lazy쉼표 apathetic and _.,,slothful,,,,,
